date,min,max,pm25,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,0.31,21.94,0.69,0.52,1.23,2.622,308
2019-12-10T00:00:00.000Z,0.25,3.44,0.56,0.4,0.81,0.39,413
2019-12-11T00:00:00.000Z,0.3,2.95,0.8,0.6,1.38,0.527,423
2019-12-12T00:00:00.000Z,0.32,22.92,15.34,0.64,18.43,8.449,492
2019-12-13T00:00:00.000Z,3.05,21.08,8.27,6.14,12.34,4.449,557
2019-12-14T00:00:00.000Z,1.72,16.64,5.37,3.79,11.59,4.54,404
2019-12-15T00:00:00.000Z,0.74,4.38,1.74,1.28,2.78,0.869,575
2019-12-16T00:00:00.000Z,1.19,3.76,1.92,1.58,2.5,0.597,290
2019-12-17T00:00:00.000Z,1.91,8.98,5.08,4.34,6.34,1.464,288
2019-12-18T00:00:00.000Z,0.35,10.58,1.7,1.18,2.85,1.896,469
2019-12-19T00:00:00.000Z,1.13,8.96,4.12,1.95,5.67,2.025,556
2019-12-20T00:00:00.000Z,6.7,29.74,13.62,11.14,20.88,5.677,586
2019-12-21T00:00:00.000Z,5.83,44.02,30.3,24.88,36.76,8.387,575
2019-12-22T00:00:00.000Z,1.64,9.98,4.53,3.76,5.61,1.657,588
2019-12-23T00:00:00.000Z,1.12,19.72,3.21,2.49,7.49,2.906,583
2019-12-24T00:00:00.000Z,1.88,16,5.98,5.05,9.94,3.367,592
2019-12-25T00:00:00.000Z,1.12,19.69,8.85,7.21,10.6,3.414,588
2019-12-26T00:00:00.000Z,1.2,4.97,2.5,1.9,3.17,0.758,586
2019-12-27T00:00:00.000Z,0.78,28.18,2.46,1.82,2.93,2.362,584
2019-12-28T00:00:00.000Z,1.33,8.6,2.54,2.13,3.05,0.78,584
2019-12-29T00:00:00.000Z,2.48,18.42,8.86,5.07,13.08,4.483,589
2019-12-30T00:00:00.000Z,1.3,15.3,4.17,3.19,5.04,2.803,580
2019-12-31T00:00:00.000Z,0.34,4.44,0.83,0.68,0.98,0.348,575
2020-01-01T00:00:00.000Z,0.76,6.42,1.7,1.34,2.92,1.062,581
2020-01-02T00:00:00.000Z,2.06,12.59,7.31,5.91,9.38,2.391,570
2020-01-03T00:00:00.000Z,0.41,7.31,1.08,0.85,2.04,1.278,545
2020-01-04T00:00:00.000Z,0.48,3.03,0.98,0.7,1.28,0.471,558
2020-01-05T00:00:00.000Z,0.71,3.56,1.31,1.14,1.52,0.297,563
2020-01-06T00:00:00.000Z,0.65,4.04,2.21,1.25,2.6,0.779,516
2020-01-07T00:00:00.000Z,0.5,11.2,4.28,1.12,6.95,2.992,505
2020-01-08T00:00:00.000Z,0.68,4.61,2.82,2.48,3.14,0.608,502
2020-01-09T00:00:00.000Z,2.36,15.25,3.68,3.35,4.18,1.047,529
2020-01-10T00:00:00.000Z,2.18,22.74,3.86,3.25,5.11,2.025,431
2020-01-11T00:00:00.000Z,0.62,6.9,2.27,1.52,3.48,1.091,532
2020-01-12T00:00:00.000Z,0.34,3.9,1.66,0.87,2.06,0.702,565
2020-01-13T00:00:00.000Z,1.3,5.45,2.67,2.27,3.25,0.699,488
2020-01-14T00:00:00.000Z,1.95,12.96,4.23,2.8,6.29,2.537,434
2020-01-15T00:00:00.000Z,0.28,7.78,1.54,1.22,2.81,1.439,456
2020-01-16T00:00:00.000Z,0.97,6.49,3.78,2.76,4.44,1.296,442
2020-01-17T00:00:00.000Z,2.22,21.52,7.22,3.66,14.95,5.851,468
2020-01-18T00:00:00.000Z,0.48,23.79,9.44,1.04,18.34,8.201,499
2020-01-19T00:00:00.000Z,0.61,3.8,1.11,0.98,1.26,0.312,461
2020-01-20T00:00:00.000Z,0.88,5.01,1.97,1.65,2.76,0.827,366
2020-01-21T00:00:00.000Z,0.55,5.34,1.51,0.86,3.18,1.223,461
2020-01-22T00:00:00.000Z,0.56,2.22,0.76,0.66,0.87,0.368,17
2020-01-23T00:00:00.000Z,0.98,2.22,1.52,1.24,1.76,0.295,81
2020-01-24T00:00:00.000Z,0.92,3.64,1.64,1.4,1.95,0.399,265
2020-01-25T00:00:00.000Z,0.6,7.35,1.3,1.05,2.04,0.744,295
2020-01-26T00:00:00.000Z,0.7,3.82,1.46,1.23,2.02,0.572,309
2020-01-27T00:00:00.000Z,3.07,14.54,6.42,5.03,7.48,2.622,255
2020-01-28T00:00:00.000Z,3.04,14.6,8.24,6.6,9.21,2.543,273
2020-01-29T00:00:00.000Z,0.95,12.12,4.05,2.06,4.8,1.768,307
2020-01-30T00:00:00.000Z,0.77,11.58,3.75,2.11,4.59,1.696,287
2020-01-31T00:00:00.000Z,0.65,5.35,1.95,1.14,2.84,1.278,283
2020-02-01T00:00:00.000Z,0.43,4.63,2.27,1.59,2.88,0.902,320
